task_id,tang,khoi_chuc_nang,quy_trinh_cap2,tac_vu_cap3,mo_ta_ngan,input,nguon_input,output,nguoi_nhan_output,role_chinh,role_phu,tan_suat,thoi_luong_uoc_tinh_phut,he_thong_dung,buoc_thu_cong,diem_gay_pain_point,rang_buoc_phap_ly,do_tin_cay(FACT/INFERENCE),source_ids,chi_tiet_ref,can_phong_van,raw_ref,loai_tac_vu
T-BO-031,Back Office,Transfer Agency & Nhà đầu tư,Kiểm soát tuân thủ,Kiểm soát tuân thủ hạn mức và tỷ lệ đầu tư của danh mục quỹ,Thực hiện giám sát và kiểm tra cơ cấu danh mục đầu tư bảo đảm không vượt quá tỷ lệ quy định,Báo cáo danh mục đầu tư,Bộ phận đầu tư / Kế toán quỹ,Báo cáo tuân thủ hạn mức đầu tư,Ban giám đốc / UBCKNN,Kiểm soát nội bộ / Tuân thủ,,Liên tục / định kỳ,,,,Tỷ lệ đầu tư vào trái phiếu NVL vượt mức 20% (chiếm 33% danh mục); không thể điều chỉnh cơ cấu trong thời hạn 3 tháng (MB Capital),"Quy định về hạn mức đầu tư chứng khoán | Quyết định 428/QĐ-UBCK, Điều 12",FACT,"S-ENF-001,S-TT98-001,S-ENF-007,S-ENF-006,S-REG-QD428","Quyết định xử phạt CTCP Quản lý quỹ MB vi phạm tỷ lệ đầu tư,Thông tư 98/2020/TT-BTC,Kết luận thanh tra MB Capital 120/KL-TT,Thời báo Tài chính xử phạt Thành Công | tuân thủ các hạn mức đầu tư",N,"_raw/enforcement/kinhtetieudung-mb-penalty.md,_raw/legal/thuvienphapluat-TT98-2020-461197.md,_raw/enforcement/thanhtra-mb-capital-xu-phat-120kl.md,_raw/enforcement/thoibaotaichinhvietnam-xu-phat.md,_raw/legal/quyet-dinh-428-qd-ubck.txt#L295;_raw/legal/quyet-dinh-428-qd-ubck.txt#L293",Vận hành
T-BO-032,Back Office,Reconciliation & Settlement,Đối chiếu giao dịch,Đối chiếu chi tiết giao dịch với hệ thống VSDC,Đối chiếu chi tiết thông tin lệnh giao dịch nội bộ với thông báo kết quả giao dịch tạm tính từ VSDC,Thông báo kết quả giao dịch tạm tính,VSDC,Báo cáo kết quả đối chiếu khớp/lệch,VSDC,Nhân viên thanh toán bù trừ,,Hàng ngày,,,,,Quy định tại Điều 5 QĐ 39/QĐ-HĐTV của VSDC,REG,S-VSD-001,QĐ 39/QĐ-HĐTV Điều 5 khoản 2: Trách nhiệm đối chiếu chi tiết giao dịch,Y,_raw/legal/vbma-qd39.pdf,Vận hành
T-BO-033,Back Office,Reconciliation & Settlement,Xác nhận thanh toán,Xác nhận khả năng thanh toán tiền và chứng khoán với VSDC,Xác nhận có đủ hoặc không có đủ tiền/chứng khoán để thanh toán các giao dịch đã khớp lệnh,Thông báo nghĩa vụ thanh toán tạm tính,VSDC,Xác nhận khả năng thanh toán,VSDC,Nhân viên thanh toán bù trừ,,Hàng ngày,,,,,Quy định tại Điều 6 và 7 QĐ 39/QĐ-HĐTV của VSDC,REG,S-VSD-001,QĐ 39/QĐ-HĐTV Điều 6 và 7: Xác nhận khả năng thanh toán tiền và phong tỏa,Y,_raw/legal/vbma-qd39.pdf,Vận hành
T-BO-034,Back Office,Reconciliation & Settlement,Xử lý sự cố thanh toán,Hỗ trợ xử lý mất khả năng thanh toán tiền bằng việc vay Quỹ hỗ trợ thanh toán,Lập đề nghị vay Quỹ hỗ trợ thanh toán khi thiếu tiền thanh toán bù trừ chứng khoán,Thông báo thiếu hụt tiền thanh toán,Hệ thống nội bộ,Đề nghị vay Quỹ hỗ trợ thanh toán,VSDC / Ngân hàng thanh toán,Nhân viên thanh toán bù trừ,,Khi phát sinh sự cố,,,,,Quy định tại Điều 13 QĐ 39/QĐ-HĐTV của VSDC,REG,S-VSD-001,QĐ 39/QĐ-HĐTV Điều 13: Hỗ trợ xử lý mất khả năng thanh toán tiền,Y,_raw/legal/vbma-qd39.pdf,Vận hành
T-BO-035,Back Office,Reconciliation & Settlement,Xử lý sự cố thanh toán,Thực hiện vay chứng khoán để xử lý mất khả năng thanh toán chứng khoán,Thực hiện thủ tục vay chứng khoán trên hệ thống VSDC trước 09h00 ngày thanh toán khi bị thiếu hụt,Thông báo thiếu hụt chứng khoán,Hệ thống nội bộ,Hồ sơ vay chứng khoán,VSDC,Nhân viên thanh toán bù trừ,,Khi phát sinh sự cố,,,,,Quy định tại Điều 14 QĐ 39/QĐ-HĐTV của VSDC,REG,S-VSD-001,QĐ 39/QĐ-HĐTV Điều 14: Hỗ trợ xử lý mất khả năng thanh toán chứng khoán,Y,_raw/legal/vbma-qd39.pdf,Vận hành
T-BO-036,Back Office,Reconciliation & Settlement,Xử lý sự cố thanh toán,Thực hiện lùi thời hạn thanh toán hoặc loại bỏ thanh toán giao dịch chứng khoán,Phối hợp với VSDC xử lý lùi thời hạn hoặc loại bỏ giao dịch khi không thể vay đủ chứng khoán,Thông báo không vay đủ chứng khoán,VSDC,Xác nhận lùi/loại bỏ giao dịch,VSDC / Khách hàng,Nhân viên thanh toán bù trừ,,Khi phát sinh sự cố,,,,,Quy định tại Điều 16 và 17 QĐ 39/QĐ-HĐTV của VSDC,REG,S-VSD-001,QĐ 39/QĐ-HĐTV Điều 16 và 17: Lùi và loại bỏ thanh toán,Y,_raw/legal/vbma-qd39.pdf,Vận hành
T-BO-037,Back Office,Reconciliation & Settlement,Phân bổ tài sản,Phân bổ tiền và chứng khoán cho khách hàng sau khi hoàn tất thanh toán,Phân bổ chính xác tiền và chứng khoán về tài khoản của khách hàng trước 13h00 ngày thanh toán,Xác nhận hoàn tất thanh toán giao dịch,VSDC,Tài khoản khách hàng được cập nhật số dư,Khách hàng / VSDC,Nhân viên thanh toán bù trừ,,Hàng ngày,,,,,Quy định tại Điều 12 QĐ 39/QĐ-HĐTV của VSDC,REG,S-VSD-001,QĐ 39/QĐ-HĐTV Điều 12 khoản 2: Trách nhiệm phân bổ tiền và chứng khoán,Y,_raw/legal/vbma-qd39.pdf,Vận hành
T-BO-038,Back Office,Reconciliation & Settlement,Thực hiện quyền,Xác nhận danh sách người sở hữu chứng khoán lưu ký để thực hiện quyền,Đối chiếu và xác nhận danh sách cổ đông/nhà đầu tư nhận cổ tức và quyền phát sinh từ chứng khoán lưu ký,Danh sách tổng hợp chốt quyền,VSDC,Xác nhận danh sách thực hiện quyền,VSDC,Nhân viên thanh toán bù trừ,,Định kỳ (khi có sự kiện quyền),,,,Bị VSD cảnh cáo do chậm xác nhận danh sách người sở hữu chứng khoán,Quy chế thực hiện quyền của VSDC,FACT,S-ENF-003,Bài báo xử phạt VSD cảnh cáo 4 công ty chứng khoán,N,_raw/enforcement/tinnhanhchungkhoan-canh-cao.html,Vận hành
T-BO-039,Back Office,Reconciliation & Settlement,Giao dịch tiền và tài sản,Thực hiện giao dịch rút/gửi tiền và mua/bán chứng chỉ tiền gửi tại ngân hàng,Làm việc trực tiếp với ngân hàng để thực hiện điều chuyển dòng tiền và quản lý thanh khoản qua chứng chỉ tiền gửi,Yêu cầu rút/gửi tiền,Ban giám đốc quỹ,Ủy nhiệm chi / chứng từ giao dịch thành công,Ngân hàng,Chuyên viên Hỗ trợ Vận hành,,Khi phát sinh nhu cầu,,,,,Quy định quản lý dòng tiền nội bộ,FACT,S-JD-002,JD Amber Capital: Liên hệ với ngân hàng để rút/gửi tiền và mua bán chứng chỉ tiền gửi,Y,_raw/jd/ambercapital-ho-tro-van-hanh.html,Vận hành
T-BO-040,Back Office,Reconciliation & Settlement,Chuyển nhượng chứng khoán OTC,Thực hiện thủ tục chuyển nhượng chứng khoán chưa niêm yết (OTC),Phối hợp xác định giá; soạn thảo hợp đồng và thực hiện thủ tục sang tên chứng khoán OTC,Hợp đồng chuyển nhượng / Yêu cầu từ bộ phận đầu tư,Bộ phận đầu tư,Hồ sơ chuyển nhượng hoàn tất,Đối tác / VSDC,Chuyên viên Hỗ trợ Vận hành,,Khi phát sinh giao dịch OTC,,,,,Luật Chứng khoán và quy định chuyển quyền sở hữu VSDC,FACT,S-JD-002,JD Amber Capital: Phối hợp soạn thảo hợp đồng và thực hiện chuyển nhượng chứng khoán chưa niêm yết,Y,_raw/jd/ambercapital-ho-tro-van-hanh.html,Vận hành
T-BO-041,Back Office,Reconciliation & Settlement,Dịch vụ Lưu ký,Ký gửi chứng khoán,Nhận ký gửi và bảo quản chứng khoán của khách hàng trên hệ thống tài khoản lưu ký,Yêu cầu ký gửi chứng khoán,Khách hàng / Thành viên lưu ký,Xác nhận ký gửi,Thành viên lưu ký,Nhân viên lưu ký,,Khi phát sinh,,Hệ thống VSDC,,,Quyết định số 34/QĐ-HĐTV ngày 29/4/2025,REG,,VSD Lưu ký chứng khoán - Dịch vụ ký gửi,Y,_raw/legal/vsd-luu-ky-chung-khoan.html,Vận hành
T-BO-042,Back Office,Reconciliation & Settlement,Dịch vụ Lưu ký,Rút chứng khoán,Xử lý yêu cầu rút chứng khoán của khách hàng khỏi hệ thống lưu ký tập trung,Yêu cầu rút chứng khoán,Khách hàng / Thành viên lưu ký,Xác nhận rút chứng khoán,Thành viên lưu ký,Nhân viên lưu ký,,Khi phát sinh,,Hệ thống VSDC,,,Quyết định số 34/QĐ-HĐTV ngày 29/4/2025,REG,,VSD Lưu ký chứng khoán - Dịch vụ rút chứng khoán,Y,_raw/legal/vsd-luu-ky-chung-khoan.html,Vận hành
T-BO-043,Back Office,Reconciliation & Settlement,Dịch vụ Lưu ký,Chuyển khoản chứng khoán không qua giao dịch,Thực hiện chuyển quyền sở hữu chứng khoán bằng ghi sổ không thông qua hệ thống giao dịch,Hồ sơ yêu cầu chuyển khoản,Thành viên lưu ký,Chứng khoán được chuyển khoản,Bên nhận,Nhân viên lưu ký,,Khi phát sinh,,Hệ thống VSDC,,,Quyết định số 34/QĐ-HĐTV ngày 29/4/2025,REG,,VSD Lưu ký chứng khoán - Chuyển khoản không qua giao dịch,Y,_raw/legal/vsd-luu-ky-chung-khoan.html,Vận hành
T-BO-044,Back Office,Reconciliation & Settlement,Dịch vụ Lưu ký,Phong tỏa và giải tỏa chứng khoán,Thực hiện phong tỏa hoặc giải tỏa chứng khoán theo yêu cầu hợp lệ của khách hàng hoặc cơ quan chức năng,Yêu cầu phong tỏa/giải tỏa,Khách hàng / Cơ quan có thẩm quyền,Trạng thái tài khoản được cập nhật,Thành viên lưu ký,Nhân viên lưu ký,,Khi phát sinh,,Hệ thống VSDC,,Không thực hiện tổng hợp và cập nhật thông tin nhận biết khách hàng định kỳ và trước khi ký hợp đồng (Amber Capital),Quyết định số 34/QĐ-HĐTV ngày 29/4/2025,FACT,S-ENF-006,"VSD Lưu ký chứng khoán - Phong tỏa và giải tỏa,Thời báo Tài chính xử phạt Amber Capital",Y,"_raw/legal/vsd-luu-ky-chung-khoan.html,_raw/enforcement/thoibaotaichinhvietnam-xu-phat.md",Vận hành
T-BO-045,Back Office,Transfer Agency & Nhà đầu tư,Thanh toán Hoa hồng,Tính và đối chiếu hoa hồng đại lý phân phối,Tính toán và đối chiếu số liệu hoa hồng trả cho đại lý phân phối chứng chỉ quỹ,Doanh số giao dịch qua đại lý,Hệ thống giao dịch / Kế toán,Bảng kê hoa hồng được đối chiếu,Đại lý phân phối,Nhân viên vận hành quỹ,,Hàng tháng,,Hệ thống quản lý quỹ,,,Hợp đồng đại lý phân phối,FACT,S-JD-001,Công ty Cổ phần Quản lý Quỹ HD - Tính và đối chiếu hoa hồng đại lý phân phối chứng chỉ quỹ,Y,_raw/jd/hdcap-van-hanh.html,Vận hành
T-BO-046,Back Office,NAV & Fund Accounting,Giao dịch CCQ,Thực hiện giao dịch CCQ trên VSDC,Thực hiện nghiệp vụ giao dịch chứng chỉ quỹ trên hệ thống của công ty và Trung tâm lưu ký,Lệnh giao dịch hợp lệ,Đại lý phân phối,Trạng thái lệnh trên VSDC,VSDC,Chuyên viên Hỗ trợ Vận hành,,Hàng ngày,,Hệ thống VSDC,,,Quy chế hoạt động lưu ký và giao dịch,FACT,S-JD-002,Amber Capital - Thực hiện nghiệp vụ giao dịch CCQ trên VSDC,Y,_raw/jd/ambercapital-ho-tro-van-hanh.html,Vận hành
T-BO-047,Back Office,Transfer Agency & Nhà đầu tư,Quản lý tài khoản,Lập và quản lý sổ đăng ký nhà đầu tư,Xác nhận quyền sở hữu và lập sổ đăng ký cho nhà đầu tư khi mua CCQ,Thông tin giao dịch mua CCQ,Nhà đầu tư / Đại lý phân phối,Sổ đăng ký nhà đầu tư được cập nhật,Nhà đầu tư / Công ty quản lý quỹ,Đại lý chuyển nhượng,,Khi phát sinh,,,,,Quy định tại khoản 1 Điều 9 Thông tư 98/2020/TT-BTC,REG,S-REG-001,Điều 9 Thông tư 98: Lập sổ đăng ký nhà đầu tư,Y,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Vận hành
T-BO-048,Back Office,Transfer Agency & Nhà đầu tư,Giao dịch CCQ,Tiếp nhận lệnh giao dịch chứng chỉ quỹ,Tiếp nhận và rà soát lệnh mua bán chuyển đổi chứng chỉ quỹ từ nhà đầu tư,Lệnh giao dịch,Nhà đầu tư,Lệnh được nhập vào hệ thống,Đại lý chuyển nhượng,Đại lý phân phối,,Hàng ngày,,,,,Điều 76 Thông tư 98/2020/TT-BTC,REG,S-REG-001,Điều 76 TT98: Đại lý phân phối nhận lệnh,Y,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Vận hành
T-BO-049,Back Office,Transfer Agency & Nhà đầu tư,Tuân thủ & AML,Thực hiện nhận biết khách hàng (KYC),Thu thập và xác minh thông tin định danh của nhà đầu tư khi mở tài khoản,Hồ sơ mở tài khoản,Nhà đầu tư,Hồ sơ KYC hoàn tất,Nội bộ,Chuyên viên KYC/AML,,Khi mở tài khoản,,,,,Luật PCRT 2022 và Thông tư 27/2025/TT-NHNN,REG,S-REG-002,Luật PCRT 2022: Nhận biết khách hàng,Y,_raw/legal/luatvietnam-luat-pcrt-2022.md,Vận hành
T-BO-050,Back Office,Transfer Agency & Nhà đầu tư,Tuân thủ & AML,Rà soát danh sách cảnh báo,Kiểm tra thông tin nhà đầu tư đối chiếu với danh sách cảnh báo đen/cấm giao dịch,Hồ sơ nhà đầu tư,Nhà đầu tư,Kết quả rà soát cảnh báo,Nội bộ,Chuyên viên KYC/AML,,Trước khi thiết lập quan hệ,,,,Bị phạt tiền từ 20-40 triệu nếu không rà soát trước khi thiết lập quan hệ,Nghị định 156/2020/NĐ-CP,FACT,S-ENF-004,Cổng thông tin UBCKNN: Xử phạt do không rà soát khách hàng PCRT,N,_raw/enforcement/ssc-news-xu-phat-am-2025.md,Vận hành
T-BO-051,Back Office,Transfer Agency & Nhà đầu tư,Tuân thủ & AML,Báo cáo đánh giá rủi ro rửa tiền,Lập và nộp báo cáo cập nhật rủi ro rửa tiền và kiểm toán nội bộ PCRT định kỳ,Dữ liệu giao dịch và KYC,Nội bộ,Báo cáo rủi ro AML,Ngân hàng Nhà nước / UBCKNN,Chuyên viên KYC/AML,,Định kỳ,,,,Không nộp báo cáo kiểm toán nội bộ và báo cáo đánh giá cập nhật rủi ro rửa tiền cho NHNN và UBCKNN (Amber Capital),Luật PCRT 2022,FACT,"S-ENF-005,S-ENF-006","Báo Thời báo Tài chính: Amber bị phạt do không nộp báo cáo rủi ro AML,Thời báo Tài chính xử phạt Amber Capital",N,"_raw/enforcement/ambercapital-news-xu-phat-am-2025.md,_raw/enforcement/thoibaotaichinhvietnam-xu-phat.md",Vận hành
T-BO-052,Back Office,Transfer Agency & Nhà đầu tư,Quản lý tài khoản,Mở tài khoản giao dịch chứng chỉ quỹ,Hướng dẫn và tiếp nhận hồ sơ đăng ký tài khoản giao dịch CCQ của nhà đầu tư,Giấy đăng ký mở tài khoản,Nhà đầu tư,Tài khoản được tạo,Hệ thống / Nhà đầu tư,Đại lý phân phối,,Khi phát sinh,,,,,Bản cáo bạch quỹ BVFED,FACT,S-BVFED-001,Bản cáo bạch quỹ BVFED: Hồ sơ mở tài khoản,Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf,Vận hành
T-BO-053,Back Office,Transfer Agency & Nhà đầu tư,Giao dịch CCQ,Áp dụng và thu phí giao dịch,Tính toán và thu phí phát hành/mua lại/chuyển đổi CCQ theo biểu phí quy định,Lệnh giao dịch,Nhà đầu tư,Khoản phí được ghi nhận,Kế toán,Đại lý chuyển nhượng,,Hàng ngày,,,,,Bản cáo bạch quỹ BVFED,FACT,S-BVFED-001,Bản cáo bạch quỹ BVFED: Biểu phí giao dịch,Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf,Vận hành
T-BO-054,Back Office,Performance & Risk Management,Đo lường hiệu quả,Đo lường và đánh giá hiệu quả hoạt động danh mục đầu tư (Performance Measurement),"Theo dõi tỷ suất lợi nhuận của danh mục, so sánh với chỉ số tham chiếu (benchmark) để đánh giá hiệu quả đầu tư định kỳ.","Dữ liệu NAV, danh mục đầu tư, chỉ số thị trường",Kế toán quỹ / Hệ thống thị trường,Báo cáo hiệu quả đầu tư (Performance Report),Ban điều hành / Nhà đầu tư,Quản trị rủi ro / Phân tích,,Định kỳ,,,,,,FACT,S-BVFED-001,Quỹ BVFED - Bảo Việt Fund,Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf,Vận hành
T-BO-055,Back Office,Performance & Risk Management,Quản trị rủi ro,"Nhận diện, đánh giá và thiết lập hạn mức rủi ro","Nhận diện các rủi ro thị trường, thanh khoản, hoạt động; đánh giá mức độ và thiết lập hạn mức cảnh báo rủi ro nội bộ.","Quy định nội bộ, dữ liệu giao dịch",Ban điều hành / Bộ phận đầu tư,"Sổ tay quản trị rủi ro, cảnh báo rủi ro",Kiểm soát nội bộ,Quản trị rủi ro,,Liên tục,,,,," | Quyết định 428/QĐ-UBCK, Điều 5, 10",REG,"S-REG-003,S-REG-QD428",Thông tư 99/2020/TT-BTC | xác định khẩu vị rủi ro dưới hình thức tuyên bố,Y,"_raw/legal/thuvienphapluat-TT99-2020.md,_raw/legal/quyet-dinh-428-qd-ubck.txt#L248",Vận hành
T-BO-056,Back Office,Performance & Risk Management,Báo cáo,Lập báo cáo hoạt động quản trị rủi ro và kiểm soát nội bộ,"Lập các báo cáo định kỳ về kiểm soát nội bộ, kết quả đo lường rủi ro và tình hình tuân thủ để gửi UBCKNN và Ban điều hành.","Dữ liệu cảnh báo, tình hình tuân thủ",Quản trị rủi ro / Kiểm soát tuân thủ,"Báo cáo quản trị rủi ro, Báo cáo kiểm soát nội bộ",UBCKNN / Ban điều hành,Quản trị rủi ro / Kiểm soát nội bộ,,Định kỳ (tháng/quý/năm),,,,Chậm trễ trong việc tổng hợp dữ liệu rủi ro từ nhiều nguồn khác nhau để làm báo cáo," | Quyết định 428/QĐ-UBCK, Điều 13, 14",REG,"S-REG-003,S-REG-QD428",Thông tư 99/2020/TT-BTC | lập báo cáo định kỳ về danh mục đầu tư và kiểm soát rủi ro,Y,"_raw/legal/thuvienphapluat-TT99-2020.md,_raw/legal/quyet-dinh-428-qd-ubck.txt#L296",Vận hành
T-BO-057,Back Office,Transfer Agency & Nhà đầu tư,Kiểm soát tài sản,Kiểm soát mục đích sử dụng tài sản ủy thác,Kiểm soát hợp đồng và giao dịch để không sử dụng tài sản ủy thác lách luật cho vay,"Bản thảo hợp đồng, chứng từ giao dịch",Đầu tư / Pháp chế,Ý kiến kiểm soát pháp lý,Ban điều hành,Kiểm soát nội bộ / Tuân thủ,,Trước khi ký kết,,,,"Sử dụng tài sản uỷ thác để cho vay dưới mọi hình thức (ký hợp đồng đặt cọc mua cổ phiếu để cho vay), bị phạt 187 triệu (Amber Capital)",,FACT,S-ENF-006,Thời báo Tài chính xử phạt Amber Capital,Y,_raw/enforcement/thoibaotaichinhvietnam-xu-phat.md,Vận hành
T-BO-058,Back Office,Performance & Risk Management,Quản trị rủi ro,"Đánh giá và cập nhật chiến lược, chính sách quản trị rủi ro định kỳ","Đánh giá lại, điều chỉnh và bổ sung các chiến lược, chính sách và quy trình quản lý rủi ro cho phù hợp với quy mô hoạt động và bối cảnh thị trường.","Chiến lược, chính sách và quy trình QTRR hiện tại",Ban điều hành,"Chiến lược, chính sách QTRR cập nhật",Hội đồng quản trị,Quản trị rủi ro,,Định kỳ hàng năm,,,,,"Quyết định 428/QĐ-UBCK, Điều 3, 9",REG,S-REG-QD428,"các chiến lược, chính sách và quy trình quản lý rủi ro của công ty phải được đánh giá lại, điều chỉnh",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L121,Vận hành
T-BO-059,Back Office,Performance & Risk Management,Quản trị rủi ro,Dự thảo chiến lược và chính sách quản trị rủi ro trình Hội đồng quản trị,Dự thảo các chiến lược và chính sách quản trị rủi ro để trình lên Hội đồng quản trị hoặc chủ sở hữu phê duyệt và ban hành.,Đề xuất từ bộ phận nghiệp vụ,Bộ phận nghiệp vụ,Dự thảo chiến lược và chính sách QTRR,Hội đồng quản trị,Ban điều hành,Quản trị rủi ro,Khi phát sinh,,,,,"Quyết định 428/QĐ-UBCK, Điều 6",REG,S-REG-QD428,Dự thảo chiến lược và chính sách quản trị rủi ro trình hội đồng quản trị,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L178,Vận hành
T-BO-060,Back Office,Performance & Risk Management,Quản trị rủi ro,Phổ biến chính sách quản trị rủi ro bằng văn bản cho toàn công ty,"Xây dựng chính sách quản trị rủi ro bằng văn bản và đảm bảo mọi cá nhân, bộ phận được tiếp cận và nắm vững trách nhiệm.",Chính sách QTRR đã được phê duyệt,Hội đồng quản trị,Văn bản phổ biến chính sách QTRR,Toàn bộ nhân viên,Quản trị rủi ro,Nhân sự,Khi ban hành chính sách mới,,,,,"Quyết định 428/QĐ-UBCK, Điều 11",REG,S-REG-QD428,"Chính sách quản trị rủi ro cần được xây dựng bằng văn bản, đảm bảo mọi cá nhân và bộ phận",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L264,Vận hành
T-BO-061,Back Office,Performance & Risk Management,Quản trị rủi ro,Lưu trữ hồ sơ và tài liệu của hệ thống quản trị rủi ro,"Ghi nhận và lưu trữ đầy đủ các chính sách, quy trình, hệ thống đánh giá rủi ro và các báo cáo vi phạm để phục vụ việc giám sát.","Chính sách, quy trình, báo cáo rủi ro",Các bộ phận,Hồ sơ lưu trữ QTRR,UBCKNN / Kiểm toán nội bộ,Quản trị rủi ro,Kiểm soát nội bộ,Liên tục,,,,,"Quyết định 428/QĐ-UBCK, Điều 15",REG,S-REG-QD428,phải được lưu trữ đầy đủ và cung cấp cho Ủy ban Chứng khoán Nhà nước khi có yêu cầu bằng văn bản,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L322,Vận hành
T-BO-062,Back Office,Performance & Risk Management,Quản trị rủi ro,Báo cáo UBCKNN danh sách nhân sự phụ trách quản trị rủi ro trong 7 ngày khi có thay đổi,"Khi thiết lập hoặc có thay đổi, bổ sung cán bộ, nhân viên quản trị rủi ro, công ty gửi Ủy ban Chứng khoán Nhà nước danh sách theo mẫu Phụ lục 02 kèm hồ sơ cá nhân trong thời hạn 7 ngày.","Danh sách và hồ sơ cá nhân cán bộ, nhân viên quản trị rủi ro mới/thay đổi",Bộ phận quản trị rủi ro / Nhân sự,"Văn bản danh sách cán bộ, nhân viên quản trị rủi ro (mẫu Phụ lục 02) kèm hồ sơ cá nhân",Ủy ban Chứng khoán Nhà nước,Quản trị rủi ro,Nhân sự,Khi phát sinh (trong 7 ngày kể từ khi thiết lập/thay đổi nhân sự QTRR),,,,,"Quyết định 428/QĐ-UBCK, Điều 4",REG,S-REG-QD428,cung cấp cho Ủy ban Chứng khoán Nhà nước danh sách theo mẫu quy định tại phụ lục số 02,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L143,Quản trị
T-BO-063,Back Office,Performance & Risk Management,Quản trị rủi ro,"Quyết định cơ cấu tổ chức, phê duyệt chiến lược/chính sách và giám sát hệ thống quản trị rủi ro","Hội đồng quản trị/hội đồng thành viên/chủ sở hữu quyết định cơ cấu tổ chức quản trị rủi ro, phê duyệt và ban hành chiến lược, chính sách quản trị rủi ro, đồng thời kiểm tra, giám sát, đánh giá mức độ đầy đủ, hiệu quả và hiệu lực của hệ thống quản trị rủi ro.","Đề xuất cơ cấu tổ chức, dự thảo chiến lược/chính sách quản trị rủi ro từ Ban điều hành",Ban điều hành,"Quyết định cơ cấu tổ chức quản trị rủi ro; chiến lược, chính sách quản trị rủi ro được phê duyệt, ban hành",Ban điều hành / Toàn công ty,Hội đồng quản trị,,Khi phát sinh / định kỳ,,,,,"Quyết định 428/QĐ-UBCK, Điều 5",REG,S-REG-QD428,"Quyết định cơ cấu tổ chức về quản trị rủi ro của công ty, bao gồm các bộ phận cấu thành",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L152,Quản trị
T-BO-064,Back Office,Performance & Risk Management,Quản trị rủi ro,Phân công thành viên hoặc thành lập tiểu ban phụ trách quản trị rủi ro,"Tùy quy mô hoạt động, hội đồng quản trị/hội đồng thành viên/chủ sở hữu phân công một thành viên phụ trách công tác quản trị rủi ro hoặc thành lập tiểu ban quản trị rủi ro.",,,Quyết định phân công thành viên phụ trách quản trị rủi ro hoặc thành lập tiểu ban quản trị rủi ro,Toàn công ty,Hội đồng quản trị,,Khi phát sinh,,,,,"Quyết định 428/QĐ-UBCK, Điều 5",REG,S-REG-QD428,"phân công một thành viên phụ trách công tác quản trị rủi ro, hoặc thành lập tiểu ban quản trị rủi ro",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L160,Quản trị
T-BO-065,Back Office,Performance & Risk Management,Quản trị rủi ro,"Rà soát, thẩm định và tham mưu cho HĐQT về cơ cấu tổ chức, chiến lược, chính sách quản trị rủi ro","Thành viên phụ trách hoặc tiểu ban quản trị rủi ro rà soát, thẩm định trước khi hội đồng quản trị phê duyệt cơ cấu tổ chức, chiến lược, chính sách quản trị rủi ro do Ban điều hành dự thảo; phân tích, cảnh báo nguy cơ, rủi ro tiềm ẩn và tham mưu cho hội đồng quản trị trong việc ban hành chiến lược, chính sách quản trị rủi ro.","Dự thảo cơ cấu tổ chức, chiến lược, chính sách quản trị rủi ro từ Ban điều hành",Ban điều hành,"Ý kiến thẩm định, cảnh báo rủi ro và tham mưu gửi hội đồng quản trị",Hội đồng quản trị,Quản trị rủi ro,,Khi phát sinh,,,,,"Quyết định 428/QĐ-UBCK, Điều 5",REG,S-REG-QD428,"Rà soát, thẩm định trước khi hội đồng quản trị... phê duyệt... do ban điều hành dự thảo",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L164,Quản trị
