uc_id,task_id,khoi_chuc_nang,ten_use_case,nang_luc_ai,ai_type,van_de_kinh_doanh,quy_trinh_hien_tai_theo_buoc,ai_lam_gi_o_buoc_nao,human_in_the_loop,du_lieu_can_co,rang_buoc_phap_ly,kpi_cai_thien,muc_do,source_ids,raw_ref,ghi_chu_thieu,co_pain_point_that,diem_gia_tri,diem_kha_thi,diem_du_lieu,diem_rui_ro,tong_diem,ro,ly_do_cham
UC-023,T-BO-048,Transfer Agency & Nhà đầu tư,AI nhận diện và bóc tách phiếu lệnh Đại lý phân phối,1-Trích xuất & phân loại,AI Copilot,"[INFERENCE] Lệnh giao dịch từ nhiều Đại lý phân phối đổ về qua email/fax dưới dạng ảnh scan, nhập liệu thủ công chậm trễ giờ cut-off.",1. Nhận email ĐLPP. 2. Trích xuất thông tin lệnh. 3. Nhập hệ thống ĐLCN. 4. Duyệt.,Bước 2: AI tự động phân loại email và OCR bóc tách thông tin lệnh chứng chỉ quỹ.,Nhân sự kiểm tra lại thông tin lệnh trên màn hình trước khi đẩy vào hệ thống.,"Email, bản scan lệnh từ ĐLPP",TT98/2020,Thời gian xử lý lệnh / Số lệnh trễ giờ,CATALOGUE,S-REG-001,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Thiếu số lượng lệnh từ ĐLPP và kênh gửi lệnh.,N,5,4,4,3,4.20,Quick win,"Giải quyết tắc nghẽn khi hàng trăm lệnh từ các Đại lý phân phối đổ về gần giờ cut-off | Phiếu lệnh theo form thống nhất của công ty quản lý quỹ, OCR bóc tách độ tin cậy cao | Tự động lấy file đính kèm từ email của Đại lý phân phối rất thuận lợi | Sai sót lệnh mua CCQ ảnh hưởng NAV nhưng có chuyên viên duyệt lệnh cuối cùng."
UC-024,T-BO-049,Transfer Agency & Nhà đầu tư,AI tự động trích xuất thông tin giấy tờ tùy thân (eKYC),1-Trích xuất & phân loại,RPA + AI,"[INFERENCE] Mở tài khoản trực tiếp yêu cầu photo CMND/CCCD, nhân viên phải gõ tay thông tin định danh rất dễ sai chính tả.",1. Nhận CCCD/Hộ chiếu. 2. Nhập thông tin. 3. Lưu hồ sơ. 4. Xác nhận.,Bước 2: AI OCR giấy tờ tùy thân và điền tự động vào form mở tài khoản (eKYC back-office).,Nhân viên xác nhận khuôn mặt và thông tin đã nhập khớp với giấy tờ cứng.,Ảnh chụp CCCD/CMND/Hộ chiếu,Luật PCRT 2022,Thời gian mở tài khoản / Tỷ lệ sai lệch,CATALOGUE,S-REG-002,_raw/legal/luatvietnam-luat-pcrt-2022.md,Chưa rõ tỷ lệ mở tài khoản online (đã có eKYC) so với offline.,N,4,5,4,2,3.95,Quick win,"Rút ngắn thời gian gõ tay thông tin CCCD khi nhà đầu tư mở tài khoản chứng chỉ quỹ trực tiếp | Công nghệ eKYC và OCR căn cước công dân đã cực kỳ hoàn thiện, có sẵn API thương mại | Ảnh chụp giấy tờ do khách hàng tự cung cấp có thể bị chói lóa cần tiền xử lý | Sai sót xác thực nhân thân dẫn đến rủi ro rửa tiền, vi phạm Luật PCRT."
UC-025,T-BO-050,Transfer Agency & Nhà đầu tư,AI rà soát danh sách đen PCRT (AML/Sanctions Screening),1-Trích xuất & phân loại,RPA + AI,Bị phạt tiền từ 20-40 triệu nếu không rà soát khách hàng PCRT trước khi thiết lập quan hệ.,"1. Lấy thông tin NĐT. 2. Tra cứu danh sách đen (UN, OFAC, nội bộ). 3. Ghi nhận kết quả.",Bước 2: AI áp dụng thuật toán Fuzzy Matching (so khớp mờ) để phát hiện người có tên tương tự danh sách đen.,Tuân thủ viên thẩm định lại kết quả cảnh báo (False Positives) trước khi chặn NĐT.,"Danh sách đen quốc tế và nội bộ, Thông tin NĐT",Nghị định 156/2020/NĐ-CP,Tỷ lệ rà soát thành công / Không bị phạt,CATALOGUE,S-ENF-004,_raw/enforcement/ssc-news-xu-phat-am-2025.md,Đã xác minh qua quyết định xử phạt thực tế.,Y,5,3,3,2,3.55,Chiến lược,"Chặn đứng rủi ro bị phạt 40 triệu đồng do không rà soát khách hàng theo Nghị định 156 | So khớp mờ (Fuzzy logic) tên tiếng Việt không dấu với danh sách đen quốc tế khá hóc búa | Phải liên tục cập nhật danh sách đen (UN, OFAC) từ các nguồn bên ngoài | Bỏ lọt đối tượng khủng bố/rửa tiền sẽ khiến công ty bị thu hồi giấy phép."
UC-026,T-BO-051,Transfer Agency & Nhà đầu tư,AI tự động tổng hợp báo cáo đánh giá rủi ro rửa tiền,4-Sinh nội dung,AI Agent,Bị phạt hơn 400 triệu đồng nếu không nộp báo cáo rủi ro AML đúng hạn.,1. Lọc giao dịch lớn. 2. Phân loại rủi ro. 3. Soạn báo cáo. 4. Trình duyệt.,Bước 2 & 3: AI phân nhóm giao dịch rủi ro và tự động sinh bản thảo báo cáo PCRT định kỳ.,Chuyên viên AML chỉnh sửa văn bản do AI sinh và gửi phê duyệt.,"Dữ liệu giao dịch NĐT, Log cảnh báo AML",Luật PCRT 2022,Thời gian làm báo cáo / Không bị phạt,CATALOGUE,S-ENF-005,_raw/enforcement/ambercapital-news-xu-phat-am-2025.md,Đã xác minh qua quyết định xử phạt (Amber Capital).,Y,5,3,4,2,3.80,Quick win,"Trực tiếp giải quyết nguy cơ bị phạt 400 triệu đồng do không nộp báo cáo rủi ro AML | Việc tổng hợp hàng ngàn giao dịch đáng ngờ thành báo cáo định kỳ yêu cầu data pipeline tốt | Dữ liệu cảnh báo rửa tiền đã được lưu trữ sẵn trong hệ thống quản lý rủi ro | Báo cáo gửi lên Ngân hàng Nhà nước, sai số liệu sẽ bị thanh tra toàn diện."
UC-027,T-BO-054,Performance & Risk Management,Theo dõi hiệu quả danh mục đầu tư so với Benchmark,2-Tổng hợp & phân tích,RPA + AI,"Cần tính toán nhanh các chỉ số phức tạp (Sharpe, Tracking error) mỗi ngày để PM có chiến lược tái cơ cấu.",1. Lấy NAV & Index. 2. Làm sạch data. 3. Áp dụng công thức tài chính. 4. Đưa vào báo cáo.,"Bước 2, 3: AI tự động làm sạch dữ liệu chuỗi thời gian, điền ngày nghỉ lễ và tính toán tự động các chỉ số tài chính dựa trên công thức cấu hình sẵn.",PM kiểm tra lại các điểm dữ liệu bất thường (outliers) trước khi dùng báo cáo.,"Dữ liệu NAV, Index HNX/VNIndex","Bản cáo bạch quỹ, TT98",Tiết kiệm thời gian tính toán,CATALOGUE,S-BVFED-001,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf,Chưa có thông tin thời gian xử lý thủ công,Y,4,5,4,4,4.25,Quick win,"Tự động tính toán các chỉ số performance giúp PM nắm bắt nhanh hiệu quả | Công thức chuẩn toán học, dữ liệu số rõ ràng dễ tính bằng code/AI | Dữ liệu NAV và index sẵn có, nhưng cần chuẩn hóa đồng bộ thời gian | Rủi ro tính sai công thức dẫn đến báo cáo sai lệch."
UC-028,T-BO-055,Performance & Risk Management,Cảnh báo rủi ro danh mục và quản lý hạn mức nội bộ,2-Tổng hợp & phân tích,RPA + AI,Quỹ vượt hạn mức đầu tư (VD vụ MB Capital) sẽ dẫn đến việc bị thanh tra UBCKNN xử phạt hành chính và mất uy tín.,"1. Đọc dữ liệu EOD. 2. Kiểm tra các hạn mức TT98, nội bộ. 3. Ghi nhận vi phạm. 4. Gửi email.","Bước 2, 3, 4: Hệ thống tự động so khớp tỷ trọng tài sản thực tế với hạn mức, kích hoạt email cảnh báo đỏ nếu >90% mức trần.",Chuyên viên rủi ro đưa ra quyết định xử lý (mua/bán) khi nhận được cảnh báo.,"Dữ liệu danh mục EOD, Bộ quy tắc hạn mức (Rule engine)","TT98/2020/TT-BTC, TT99/2020/TT-BTC",Giảm rủi ro phạt vi phạm,CATALOGUE,S-REG-003,_raw/legal/thuvienphapluat-TT99-2020.md,Cần phỏng vấn hệ thống lõi có support cảnh báo chưa,Y,5,4,4,5,4.50,Quick win,"Giảm thiểu triệt để rủi ro vi phạm pháp luật và thiệt hại uy tín, giá trị cực cao | Đòi hỏi dữ liệu realtime hoặc EOD chính xác | Danh mục được chốt EOD, hạn mức là tĩnh, dữ liệu khá sạch | Cảnh báo sai/sót có thể dẫn đến phạt nặng từ UBCKNN như vụ MB Capital."
UC-029,T-BO-056,Performance & Risk Management,Báo cáo quản trị rủi ro tự động,4-Sinh nội dung,AI Agent,"Báo cáo định kỳ tốn nhiều thời gian chắp vá số liệu từ nhiều bộ phận, dễ xảy ra sai sót khi nhập liệu.",1. Thu thập dữ liệu rủi ro kỳ này. 2. Soạn báo cáo Word theo mẫu. 3. Trình phê duyệt.,Bước 2: AI tự động điền các thông số định lượng vào biểu mẫu chuẩn theo TT99 và sinh các câu nhận xét định tính cơ bản.,Trưởng bộ phận rủi ro duyệt báo cáo và chỉnh sửa văn phong.,"Dữ liệu cảnh báo, Log vi phạm",TT99/2020/TT-BTC,Thời gian hoàn thành báo cáo,CATALOGUE,S-REG-003,_raw/legal/thuvienphapluat-TT99-2020.md,Chưa rõ tần suất làm báo cáo của quỹ,Y,4,4,3,3,3.60,Chiến lược,"Giảm tải khối lượng làm báo cáo định kỳ cho bộ phận QTRR | Biểu mẫu TT99 khá rõ ràng, thông số chủ yếu là định lượng | Cần tổng hợp cả đánh giá định tính và định lượng từ nhiều nguồn | Báo cáo cần được kiểm duyệt trước khi nộp UBCKNN, ít rủi ro tự động hóa ngay."
UC-030,T-BO-057,Transfer Agency & Nhà đầu tư,AI phân tích ngữ nghĩa hợp đồng để phát hiện rủi ro lách luật cho vay,3-Phân tích chuyên sâu,AI Agent,Sử dụng tài sản ủy thác ký hợp đồng đặt cọc lách luật cho vay bị phạt nặng.,1. Tải bản thảo hợp đồng. 2. Kiểm tra điều khoản. 3. Phê duyệt.,"Bước 2: AI rà soát ngôn ngữ hợp đồng, đối chiếu luật để cảnh báo nếu bản chất là cho vay.",Chuyên viên pháp chế duyệt lại kết quả cảnh báo của AI.,Bản thảo hợp đồng,Luật Chứng khoán,Phát hiện sớm rủi ro gian lận,CATALOGUE,S-ENF-006,_raw/enforcement/thoibaotaichinhvietnam-xu-phat.md,,Y,5,3,3,4,3.85,Quick win,"Giá trị: 5 (ngăn chặn vi phạm đặc biệt nghiêm trọng), Khả thi: 3 (phân tích ngữ nghĩa tiếng Việt khó), Dữ liệu: 3, Rủi ro: 4."
UC-034,T-BO-073,Performance & Risk Management,AI hỗ trợ xây dựng và hiệu chỉnh mô hình đo lường rủi ro nội bộ,5-Dự báo & định lượng,AI Agent,"Xây dựng mô hình định lượng rủi ro (VaR, stress test) nội bộ đòi hỏi chuyên môn thống kê sâu, bộ phận QTRR nhỏ khó tự phát triển và duy trì mô hình.",1. Thu thập dữ liệu lịch sử danh mục/thị trường. 2. Lựa chọn phương pháp mô hình. 3. Hiệu chỉnh tham số. 4. Kiểm định lại mô hình (backtesting).,Bước 1 & 3: AI tổng hợp dữ liệu lịch sử và đề xuất tham số hiệu chỉnh mô hình; Bước 4: AI tự động chạy backtesting và báo cáo độ lệch.,Chuyên viên quản trị rủi ro thẩm định và phê duyệt mô hình trước khi áp dụng chính thức.,"Dữ liệu giá lịch sử danh mục, dữ liệu thị trường","Quyết định 428/QĐ-UBCK, Điều 6",Thời gian xây dựng/hiệu chỉnh mô hình rủi ro,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L192,"Chưa rõ công ty đang dùng mô hình chuẩn hay mô hình nội bộ, cần phỏng vấn bộ phận QTRR",N,4,2,3,2,2.95,Nghiên cứu,"Giá trị: 4 (mô hình rủi ro tốt giúp ra quyết định chính xác hơn) | Khả thi: 2 (xây dựng mô hình định lượng đòi hỏi chuyên môn thống kê cao, khó áp dụng ngay) | Dữ liệu: 3 (dữ liệu giá lịch sử có nhưng cần làm sạch, chưa chắc đủ dài để hiệu chỉnh mô hình) | Rủi ro: 2 (mô hình sai lệch có thể dẫn đến đánh giá rủi ro sai, cần kiểm định chặt)."
UC-035,T-BO-074,Performance & Risk Management,AI giám sát khẩu vị và giới hạn rủi ro theo thời gian thực,6-Phát hiện bất thường,AI Agent,"Bộ phận QTRR phải giám sát nhiều bộ phận nghiệp vụ để bảo đảm rủi ro không vượt khẩu vị và giới hạn đã phê duyệt, dễ bỏ sót nếu theo dõi thủ công.",1. Thu thập số liệu rủi ro từng bộ phận nghiệp vụ. 2. Đối chiếu với khẩu vị/giới hạn đã duyệt. 3. Ghi nhận vi phạm (nếu có). 4. Báo cáo Ban điều hành.,"Bước 1 & 2: AI tự động thu thập số liệu và đối chiếu real-time với bảng giới hạn rủi ro, đánh dấu bộ phận có nguy cơ vượt ngưỡng.",Chuyên viên QTRR xác nhận vi phạm thực tế và quyết định phương án xử lý.,"Số liệu rủi ro theo bộ phận nghiệp vụ, bảng khẩu vị/giới hạn rủi ro","Quyết định 428/QĐ-UBCK, Điều 6",Thời gian phát hiện vi phạm giới hạn rủi ro,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L194,Chưa rõ hệ thống nguồn dữ liệu rủi ro hiện tại có API hay không,N,5,3,3,3,3.70,Chiến lược,"Giá trị: 5 (phát hiện sớm vi phạm giới hạn rủi ro giúp tránh bị UBCKNN xử phạt) | Khả thi: 3 (cần tích hợp dữ liệu từ nhiều bộ phận nghiệp vụ khác hệ thống) | Dữ liệu: 3 (số liệu rủi ro rải rác nhiều nguồn, chưa chuẩn hoá) | Rủi ro: 3 (cảnh báo sai có thể gây nhiễu, nhưng có chuyên viên xác nhận trước khi xử lý)."
UC-036,T-BO-075,Performance & Risk Management,AI tổng hợp báo cáo rủi ro hàng ngày từ các bộ phận nghiệp vụ,2-Tổng hợp & phân tích,AI Agent,"Bộ phận QTRR phải tiếp nhận, tổng hợp báo cáo rủi ro thị trường, thanh khoản, thanh toán từ nhiều bộ phận nghiệp vụ mỗi ngày, dễ chậm trễ và bỏ sót khi làm thủ công.",1. Nhận báo cáo rủi ro từ từng bộ phận nghiệp vụ. 2. Tổng hợp vào bảng theo dõi chung. 3. Rà soát các vấn đề nổi bật. 4. Điều phối xử lý.,Bước 1 & 2: AI tự động thu thập và hợp nhất báo cáo rủi ro từ các bộ phận vào một bảng tổng hợp chuẩn hoá theo loại rủi ro.,Chuyên viên QTRR rà soát bảng tổng hợp và quyết định điều phối xử lý.,Báo cáo rủi ro thị trường/thanh khoản/thanh toán hàng ngày từ các bộ phận nghiệp vụ,"Quyết định 428/QĐ-UBCK, Điều 6",Thời gian tổng hợp báo cáo rủi ro hàng ngày,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L196,Chưa rõ định dạng báo cáo hiện tại của từng bộ phận nghiệp vụ (Excel/email/hệ thống),N,4,4,3,3,3.60,Chiến lược,"Giá trị: 4 (giảm tải công việc tổng hợp thủ công hàng ngày cho bộ phận QTRR) | Khả thi: 4 (tác vụ tổng hợp dữ liệu có cấu trúc, phù hợp AI Agent) | Dữ liệu: 3 (báo cáo từ nhiều bộ phận có thể chưa đồng nhất định dạng) | Rủi ro: 3 (sai sót tổng hợp có thể ảnh hưởng chất lượng cảnh báo nhưng có chuyên viên rà soát)."
UC-037,T-BO-076,Performance & Risk Management,AI soạn thảo báo cáo tháng và báo cáo 6 tháng gửi Ban điều hành,4-Sinh nội dung,AI Agent,"Bộ phận QTRR phải soạn báo cáo định kỳ tháng và 6 tháng về công tác quản lý rủi ro, tổng hợp số liệu và văn bản thủ công tốn thời gian.",1. Thu thập số liệu rủi ro trong kỳ. 2. Soạn nội dung báo cáo theo mẫu. 3. Trình duyệt nội bộ. 4. Gửi Ban điều hành.,Bước 1 & 2: AI tự động điền số liệu vào mẫu báo cáo chuẩn và soạn phần nhận định dựa trên xu hướng dữ liệu kỳ trước.,Trưởng bộ phận QTRR duyệt nội dung và chỉnh sửa nhận định trước khi trình Ban điều hành.,"Dữ liệu giám sát rủi ro trong kỳ, các giới hạn rủi ro bị vượt (nếu có)","Quyết định 428/QĐ-UBCK, Điều 6",Thời gian soạn báo cáo tháng/6 tháng,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L198,Chưa có mẫu báo cáo nội bộ thực tế để đối chiếu cấu trúc,N,4,4,3,4,3.75,Chiến lược,"Giá trị: 4 (giảm thời gian soạn báo cáo lặp lại hàng tháng) | Khả thi: 4 (sinh nội dung từ số liệu có cấu trúc là năng lực AI phổ biến) | Dữ liệu: 3 (cần chuẩn hoá dữ liệu đầu vào từ UC-036 trước khi dùng) | Rủi ro: 4 (báo cáo nội bộ, có bước duyệt trước khi gửi nên rủi ro thấp)."
UC-038,T-BO-070,Performance & Risk Management,AI hỗ trợ soạn báo cáo quý về công tác quản trị rủi ro trình HĐQT,4-Sinh nội dung,AI Agent,"Ban điều hành phải báo cáo HĐQT định kỳ hàng quý về công tác QTRR kèm đánh giá tính phù hợp, hiệu quả, hiệu lực hệ thống — tổng hợp thủ công từ nhiều nguồn tốn thời gian.",1. Thu thập báo cáo rủi ro tháng trong quý. 2. Tổng hợp đánh giá hiệu quả hệ thống QTRR. 3. Soạn báo cáo trình HĐQT. 4. HĐQT xem xét.,Bước 1 & 2: AI tổng hợp các báo cáo tháng trong quý và dự thảo phần đánh giá hiệu quả hệ thống QTRR dựa trên số liệu vi phạm/giới hạn bị vượt.,"Ban điều hành rà soát, bổ sung nhận định chiến lược trước khi trình HĐQT.","Báo cáo QTRR hàng tháng trong quý, số liệu giới hạn rủi ro bị vượt","Quyết định 428/QĐ-UBCK, Điều 6",Thời gian soạn báo cáo quý cho HĐQT,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L184,Trùng một phần dữ liệu đầu vào với UC-037 (báo cáo tháng) — cần xác nhận có dùng chung nguồn dữ liệu hay không,N,3,4,3,4,3.40,Chiến lược,"Giá trị: 3 (báo cáo cấp HĐQT tần suất thấp hơn, giá trị tiết kiệm thời gian ít hơn báo cáo tháng) | Khả thi: 4 (tương tự UC-037, tận dụng lại dữ liệu đã tổng hợp) | Dữ liệu: 3 (phụ thuộc chất lượng báo cáo tháng đầu vào) | Rủi ro: 4 (có Ban điều hành rà soát trước khi trình HĐQT nên rủi ro thấp)."
UC-039,T-BO-066,Performance & Risk Management,AI hỗ trợ đánh giá mức độ tuân thủ quy trình quản lý rủi ro hàng năm,2-Tổng hợp & phân tích,AI Agent,"Thành viên/tiểu ban QTRR phải phối hợp bộ phận QTRR, kiểm toán nội bộ, kiểm soát nội bộ rà soát đánh giá hiệu quả toàn bộ hệ thống QTRR mỗi năm — khối lượng thông tin lớn, tổng hợp thủ công dễ sót.",1. Thu thập báo cáo tuân thủ từ các bộ phận nghiệp vụ trong năm. 2. Đối chiếu với chính sách/quy trình QLRR. 3. Xác định điểm chưa đầy đủ/hiệu lực thấp. 4. Soạn báo cáo và đề xuất khắc phục trình HĐQT.,Bước 1 & 2: AI tổng hợp báo cáo tuân thủ cả năm và đối chiếu tự động với danh mục yêu cầu trong chính sách QTRR để chỉ ra khoảng trống.,Thành viên phụ trách QTRR thẩm định kết quả đối chiếu và đề xuất phương án khắc phục trước khi trình HĐQT.,"Báo cáo tuân thủ quy trình QLRR của các bộ phận trong năm, chính sách QTRR hiện hành","Quyết định 428/QĐ-UBCK, Điều 5",Thời gian hoàn thành đánh giá hệ thống QTRR hàng năm,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L166,Chưa rõ báo cáo tuân thủ của các bộ phận có được lưu ở định dạng thống nhất hay không,N,4,3,2,3,3.10,Chiến lược,"Giá trị: 4 (đánh giá đầy đủ giúp HĐQT nắm được lỗ hổng hệ thống QTRR) | Khả thi: 3 (đối chiếu định tính giữa báo cáo và chính sách cần suy luận, khó tự động hoàn toàn) | Dữ liệu: 2 (báo cáo tuân thủ từ nhiều bộ phận khả năng không đồng nhất định dạng) | Rủi ro: 3 (kết quả sai lệch ảnh hưởng đánh giá HĐQT nhưng có bước thẩm định người)."
UC-040,T-BO-083,Performance & Risk Management,AI tính toán và cập nhật bảng giới hạn rủi ro theo mẫu quy định,5-Dự báo & định lượng,RPA + AI,"Công ty phải xác lập giới hạn rủi ro kèm khẩu vị rủi ro theo mẫu Phụ lục 04, phân bổ theo bộ phận/sản phẩm/kỳ hạn — tính toán và cập nhật thủ công phức tạp khi danh mục thay đổi.",1. Thu thập số liệu danh mục theo bộ phận/sản phẩm. 2. Tính tỷ trọng và mức độ tập trung. 3. Điền vào bảng giới hạn rủi ro theo mẫu. 4. Trình phê duyệt.,"Bước 1, 2 & 3: AI tính toán tỷ trọng, mức tập trung theo từng tiêu chí và tự động điền bảng giới hạn rủi ro theo mẫu Phụ lục 04.",Chuyên viên QTRR kiểm tra số liệu tính toán trước khi trình phê duyệt.,"Dữ liệu danh mục theo bộ phận nghiệp vụ, loại sản phẩm, kỳ hạn","Quyết định 428/QĐ-UBCK, Điều 10",Thời gian cập nhật bảng giới hạn rủi ro,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L258,Chưa có mẫu Phụ lục 04 thực tế công ty đang dùng để đối chiếu cấu trúc bảng,N,4,4,4,3,3.85,Quick win,"Giá trị: 4 (bảng giới hạn rủi ro là nền tảng để giám sát tự động ở các UC khác) | Khả thi: 4 (phép tính tỷ trọng/mức tập trung có công thức rõ ràng, dễ tự động hoá) | Dữ liệu: 4 (dữ liệu danh mục theo bộ phận/sản phẩm đã có sẵn trong hệ thống kế toán quỹ) | Rủi ro: 3 (sai số tính toán ảnh hưởng các cảnh báo phía sau nhưng có bước kiểm tra người)."
UC-041,T-BO-084,Performance & Risk Management,AI cảnh báo tự động khi vượt ngưỡng cảnh báo rủi ro,6-Phát hiện bất thường,AI Agent,"Ban điều hành phải xác lập ngưỡng cảnh báo thấp hơn giới hạn rủi ro và khi bị vượt, bộ phận nghiệp vụ phải báo ngay cho bộ phận QTRR/Ban điều hành — nếu theo dõi thủ công dễ phát hiện trễ.",1. Theo dõi giá trị rủi ro thực tế theo thời gian. 2. So sánh với ngưỡng cảnh báo đã thiết lập. 3. Phát hiện vượt ngưỡng. 4. Thông báo bộ phận QTRR/Ban điều hành.,"Bước 1, 2 & 3: AI giám sát liên tục giá trị rủi ro so với ngưỡng cảnh báo đã cấu hình cho từng bộ phận/sản phẩm và tự động gửi cảnh báo khi phát hiện vượt ngưỡng.",Bộ phận QTRR và Ban điều hành xác nhận mức độ nghiêm trọng và quyết định phương án xử lý sau khi nhận cảnh báo.,"Số liệu giá trị rủi ro theo thời gian thực, bảng ngưỡng cảnh báo/giới hạn rủi ro (UC-040)","Quyết định 428/QĐ-UBCK, Điều 10",Thời gian phát hiện vượt ngưỡng cảnh báo rủi ro,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L260,Cần xác nhận hệ thống hiện tại có khả năng cấp dữ liệu rủi ro theo thời gian thực hay chỉ cuối ngày (EOD),N,5,3,3,3,3.70,Chiến lược,"Giá trị: 5 (phát hiện sớm giúp tránh vượt giới hạn rủi ro chính thức, tránh bị UBCKNN xử phạt) | Khả thi: 3 (phụ thuộc hạ tầng dữ liệu real-time, nếu chỉ có dữ liệu EOD thì độ trễ cao) | Dữ liệu: 3 (tương tự UC-035, số liệu rủi ro rải rác nhiều nguồn) | Rủi ro: 3 (cảnh báo giả gây nhiễu vận hành nhưng có người xác nhận trước khi xử lý)."
UC-042,T-BO-086,Performance & Risk Management,"AI hỗ trợ soạn thảo chiến lược, chính sách quản trị rủi ro riêng cho từng quỹ",4-Sinh nội dung,AI Copilot,"Công ty quản lý quỹ phải xây dựng chiến lược, chính sách QTRR phù hợp với từng quỹ/danh mục ủy thác và cập nhật tối thiểu 1 năm/lần — soạn thảo lặp lại cho nhiều quỹ tốn thời gian.","1. Đọc điều lệ quỹ/hợp đồng quản lý. 2. Xác định phạm vi, hạn chế đầu tư riêng của quỹ. 3. Soạn thảo chiến lược, chính sách QTRR theo khung chung của công ty. 4. Trình phê duyệt.","Bước 1 & 3: AI đọc điều lệ quỹ, trích xuất các hạn chế đầu tư đặc thù và điền vào khung chiến lược/chính sách QTRR chuẩn của công ty cho từng quỹ.",Chuyên viên QTRR rà soát bản dự thảo và điều chỉnh trước khi trình phê duyệt.,"Điều lệ quỹ, hợp đồng quản lý đầu tư, khung chiến lược/chính sách QTRR chuẩn của công ty","Quyết định 428/QĐ-UBCK, Điều 12, 13",Thời gian soạn thảo chiến lược/chính sách QTRR cho mỗi quỹ mới,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L289,Chưa rõ công ty hiện quản lý bao nhiêu quỹ để ước tính khối lượng lặp lại,N,3,4,3,3,3.25,Chiến lược,Giá trị: 3 (chỉ tiết kiệm thời gian rõ rệt nếu công ty quản lý nhiều quỹ) | Khả thi: 4 (trích xuất điều khoản từ điều lệ quỹ là tác vụ AI Copilot quen thuộc) | Dữ liệu: 3 (điều lệ quỹ có sẵn nhưng định dạng PDF cần bóc tách) | Rủi ro: 3 (sai sót trong chính sách QTRR ảnh hưởng tuân thủ nhưng có bước rà soát người).
UC-043,T-BO-087,Performance & Risk Management,AI giám sát rủi ro danh mục quỹ và đề xuất xử lý khi vượt ngưỡng/giới hạn,6-Phát hiện bất thường,AI Agent,"Nhân viên điều hành quỹ phải theo dõi, nhận diện, định lượng rủi ro tiềm tàng trong danh mục từng quỹ/khách hàng ủy thác và xử lý ngay khi vượt ngưỡng/giới hạn — khối lượng danh mục lớn khó rà soát thủ công hàng ngày.",1. Cập nhật danh mục quỹ cuối ngày. 2. Đối chiếu với ngưỡng/giới hạn rủi ro của quỹ. 3. Ghi nhận vi phạm nếu có. 4. Đề xuất phương án xử lý/lấy ý kiến ban đại diện quỹ.,"Bước 1, 2 & 3: AI tự động đối chiếu danh mục quỹ cuối ngày với ngưỡng/giới hạn rủi ro riêng của từng quỹ và đánh dấu các trường hợp vượt ngưỡng kèm mức độ nghiêm trọng.",Nhân viên điều hành quỹ xác nhận vi phạm và quyết định phương án xử lý/xin ý kiến ban đại diện quỹ khi vượt giới hạn.,"Dữ liệu danh mục đầu tư từng quỹ, bảng ngưỡng/giới hạn rủi ro theo quỹ","Quyết định 428/QĐ-UBCK, Điều 12",Thời gian phát hiện vi phạm ngưỡng/giới hạn rủi ro danh mục quỹ,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L293,"Có phần trùng phạm vi với UC-028 (T-BO-055, cảnh báo hạn mức nội bộ) — cần làm rõ ranh giới giữa hạn mức đầu tư (TT98/TT99) và giới hạn rủi ro theo QĐ428 khi phỏng vấn",N,5,4,4,3,4.20,Quick win,"Giá trị: 5 (giám sát rủi ro danh mục quỹ hàng ngày giúp tránh vi phạm nghiêm trọng ảnh hưởng NĐT, tương tự case MB Capital) | Khả thi: 4 (đối chiếu danh mục với bảng giới hạn là bài toán so khớp dữ liệu có cấu trúc) | Dữ liệu: 4 (dữ liệu danh mục quỹ cập nhật hàng ngày đã có trong hệ thống kế toán quỹ) | Rủi ro: 3 (đánh giá sai có thể bỏ sót vi phạm nhưng có nhân viên điều hành quỹ xác nhận)."
